SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
0.52394,0.52901,0.06589,1.1587,1.05884,0.94336,1.19666,1.13868,1.37288,1.50358,1.73626,1.78135,1.79058,1.7142,1.66581,1.54427,1.54177,1.49969,1.57741,1.52978,1.43988,1.37162,1.10394,1.03216,0.94767,1.00973,1.21751,1.11806,1.14885,1.17052,1.1099,1.08056,1.28243,1.24526,1.41304,1.20623,1.26822,1.32924,1.36696,1.34493,1.47617,1.51044,1.44094,1.49307,1.46078,1.65843,1.71395,1.80486
0.1229,0.33107,0.37631,-0.00713,0.99642,0.89752,0.79384,1.03977,1.00746,1.25103,1.37852,1.59555,1.66014,1.67143,1.6026,1.555,1.45175,1.44585,1.40232,1.4773,1.44781,1.374,1.31423,1.05898,0.99009,0.9049,0.97273,1.17719,1.07684,1.10817,1.13126,1.07181,1.04141,1.24179,1.20636,1.37037,1.165,1.23549,1.29705,1.33644,1.31721,1.45039,1.48691,1.41658,1.47166,1.44409,1.64392,1.68729
-1.45745,-1.05479,-0.57623,-0.38418,-0.72657,0.34734,0.23416,0.13301,0.40499,0.44887,0.79408,0.97724,1.28193,1.40513,1.45814,1.37879,1.30774,1.1984,1.1921,1.14208,1.22053,1.21842,1.13868,1.07768,0.7828,0.71365,0.62042,0.70073,0.9454,0.82266,0.85698,0.88648,0.81556,0.78327,1.01363,0.97152,1.14972,0.92199,1.01639,1.08852,1.14353,1.12108,1.27267,1.31254,1.2277,1.29739,1.2716,1.49144
-1.38785,-1.85456,-1.64676,-1.17861,-0.94082,-1.20088,-0.21973,-0.33014,-0.42575,-0.17585,-0.03653,0.38489,0.60909,0.97691,1.14488,1.23451,1.14483,1.05444,0.93165,0.92179,0.86754,0.95332,0.962,0.87129,0.80247,0.48348,0.42578,0.33612,0.42463,0.68946,0.55211,0.58665,0.61912,0.54389,0.52605,0.77527,0.72681,0.9127,0.67609,0.78802,0.86642,0.9307,0.90802,1.06806,1.11055,1.01902,1.09884,1.06726
0.27422,-0.76891,-1.3998,-1.2933,-0.99658,-0.81126,-1.03943,-0.18693,-0.28801,-0.37863,-0.16489,-0.02754,0.39617,0.61416,0.9901,1.14661,1.25352,1.1637,1.07543,0.94898,0.93885,0.88614,0.96481,0.9698,0.87761,0.80668,0.48711,0.42859,0.33168,0.42532,0.68731,0.55266,0.58775,0.61999,0.54774,0.53231,0.78626,0.74003,0.92617,0.6919,0.80409,0.88586,0.94924,0.92604,1.08714,1.12981,1.0368,1.11621
1.61004,1.26808,0.54888,-0.19259,-0.20519,-0.03372,0.05876,-0.1776,0.49653,0.42531,0.34619,0.52513,0.58694,0.91004,1.06882,1.35525,1.45628,1.51714,1.43492,1.3541,1.26247,1.25881,1.21677,1.28577,1.2823,1.20746,1.15177,0.88033,0.82048,0.71596,0.79465,1.02166,0.90662,0.93678,0.96295,0.90293,0.88191,1.10208,1.06464,1.2305,1.02268,1.10815,1.18484,1.23661,1.21219,1.35976,1.39733,1.315
-0.71788,1.2904,1.02495,0.28163,-0.39855,-0.39081,-0.19688,-0.09506,-0.32624,0.34716,0.26968,0.19246,0.36736,0.44571,0.77533,0.94328,1.24061,1.35262,1.42254,1.34072,1.25773,1.15798,1.15388,1.11092,1.17811,1.17864,1.10052,1.04088,0.77291,0.71646,0.61913,0.69901,0.92581,0.81029,0.84063,0.86773,0.80659,0.78864,1.0098,0.96844,1.1357,0.92816,1.02163,1.09666,1.15173,1.12824,1.27667,1.31541
1.58403,0.33025,1.5529,1.24594,0.55545,-0.14544,-0.16523,-0.0053,0.08731,-0.14684,0.51256,0.43766,0.36096,0.53677,0.60196,0.91551,1.06548,1.33779,1.43859,1.49884,1.41946,1.34076,1.247,1.24361,1.2023,1.26762,1.26334,1.18727,1.13153,0.86888,0.81288,0.71432,0.79302,1.01399,0.90438,0.93406,0.95997,0.89981,0.87989,1.09687,1.05736,1.22384,1.02115,1.10853,1.18417,1.23698,1.21356,1.35917
-0.99292,0.9804,-0.03808,1.38958,1.12864,0.43695,-0.24274,-0.25459,-0.08478,0.01541,-0.2175,0.45306,0.37962,0.30282,0.47382,0.54551,0.86255,1.01336,1.29172,1.3981,1.46661,1.38629,1.30736,1.21329,1.20944,1.16812,1.2349,1.23136,1.15343,1.09774,0.83147,0.77528,0.67883,0.75777,0.98214,0.87195,0.90198,0.92858,0.86682,0.84767,1.06851,1.02749,1.19425,0.98931,1.07695,1.15195,1.20515,1.18282
0.22163,-0.1597,0.46124,-0.04346,1.16865,0.97985,0.38818,-0.2232,-0.21792,-0.06134,0.02776,-0.19617,0.43062,0.35987,0.28851,0.44748,0.51848,0.81399,0.96777,1.24823,1.35195,1.42265,1.34585,1.26982,1.17215,1.16747,1.1269,1.18959,1.1865,1.11112,1.05841,0.78807,0.7303,0.63846,0.71762,0.93662,0.82829,0.85732,0.88385,0.82533,0.80618,1.02407,0.98565,1.14106,0.94516,1.03839,1.10859,1.15894
-0.6932,-0.48037,-0.71719,-0.21741,-0.55884,0.78067,0.69342,0.10159,-0.48322,-0.45977,-0.27967,-0.18562,-0.40795,0.24277,0.17162,0.10327,0.26615,0.35501,0.67179,0.84038,1.13441,1.25498,1.34432,1.26839,1.19059,1.08711,1.08241,1.03971,1.10192,1.10405,1.02856,0.97472,0.6862,0.62352,0.52496,0.6077,0.84193,0.72776,0.75823,0.78621,0.72455,0.70433,0.92983,0.88989,1.0508,0.84851,0.94392,1.01091
