"scaled","CA01","CA02","CA03","CA04","CA05","CA06","CA07","CA08","CA09","CA10","CA26","CA27","CA28","CA29","CA30"
1929,-1.55229620257341,-0.12022022769643,0.0466401270461695,0.190739491198127,0.521141716175561,-0.749878445784462,0.123679847865362,0.480898846928123,-0.0448545638052791,0.73471231269393,-0.0979009182478313,0.0160214683407527,-0.01233866763093,-0.309086278033354,-0.184806450603795
1930,-1.78825501212563,-0.104658992980926,0.0594306328012131,0.0826653721130041,0.530371564343503,-0.875742495185602,0.139913221540554,0.480898846928123,0.0280803500116986,0.687981494218698,-0.101770127592775,-0.0624427838970049,-0.10109732379444,-0.360727762425471,-0.191777809109843
1931,-1.6760806046508,0.0282449419246551,0.135140710459248,0.0432245519790442,0.544339111754279,-0.724250602665438,0.139913221540554,0.480898846928123,0.0853563736727141,0.688446069607048,-0.104112662499002,-0.0624427838970049,-0.138513604734327,-0.34367323495945,-0.176015249456979
1932,-2.06118498110729,0.0427296938046216,0.0803704044126943,-0.0361387501654873,0.362664370671301,-0.641897800967217,0.0470574780474924,0.480898846928123,0.0836538211648423,0.626454233162463,-0.0678793607030369,0.0600658466498967,-0.21494636024116,-0.374576338212912,-0.0633079371343903
1933,-2.81490187718383,0.00299562424728937,0.025852699797413,-0.157466752302716,0.130973043426631,-0.720459823109772,-0.0209304572332299,0.365191377906184,0.0335000285767195,0.236419315162583,-0.158400179253307,-0.0675586678737816,-0.30672198061549,-0.411067140093984,-0.0570223447585387
1934,-2.99230543213176,0.0450231667996726,0.0530873423103671,-0.176090567180867,-0.0422112043673615,-0.774387341790866,-0.0566007357653681,0.270720333481768,-0.0429260098728439,0.0949348205436164,-0.10800111428516,0.0156106959742513,-0.348369146463412,-0.40220901890075,-0.0362869466645246
1935,-3.98234793445806,0.0823682494986867,0.084786672296515,-0.244254657702493,-0.186577109848528,-0.69308868541622,-0.0998403004163161,0.206126324590588,-0.148334502359658,-0.272403750530878,-0.0711159480003835,0.0600658466498967,-0.337132084189395,-0.425703774691052,-0.0446713220678708
1936,-3.71982073967279,0.173001130843429,0.0881257203322986,-0.244254657702493,-0.192185766675081,-0.65595951892499,-0.103617915355737,0.113800563823873,-0.199531660901627,-0.540474667042275,-0.0574363821333389,0.0761463723405905,-0.2926550301243,-0.41987221613364,0.00803987622935916
1937,-3.55057429749988,0.158586318258919,0.0881257203322986,-0.241924877300592,-0.214795856872149,-0.571783332573165,-0.172188242882529,-0.0842784902284988,-0.204558041369527,-0.750328336778223,0.00556294907459388,0.123841721231358,-0.270906436953071,-0.424413283653295,0.0459345669690233
1938,-2.96341496000905,0.109561976314709,0.0631961674167058,-0.306289952757198,-0.177112373210369,-0.456735167585626,-0.285357362261803,-0.250256831005473,-0.198378419450718,-0.750328336778223,0.0487813532083537,0.075484041336512,-0.255277219436547,-0.356484703986664,0.0443088273375909
1939,-2.5038599969186,0.116069896886849,-0.0149719918986734,-0.389819169059929,-0.329489693007597,-0.313101859589681,-0.368471157095338,-0.36031862723869,-0.224816016892642,-0.750328336778223,-0.0103737992376156,-0.0175435972461397,-0.190148015974665,-0.232881766908496,0.0638845670749745
1940,-2.61463357947268,0.101561159775992,-0.0460256601486473,-0.407527191004769,-0.456911813651491,-0.181677202316914,-0.410171974503159,-0.406978593355931,-0.269560175222183,-0.836403882362635,-0.0726165946633094,0.0653881593125706,-0.0804872839719461,-0.159533283422352,0.036633095156327
1941,-3.05795607359086,-0.0108718060807646,-0.106379757813767,-0.422652023161561,-0.526610225903413,-0.195951587278554,-0.449594196746964,-0.453638559473171,-0.326582519980722,-0.907121895790591,-0.145233189326619,0.00528706787420284,-0.0846737068851943,-0.161946359981477,-0.0179884900095995
1942,-2.97339391367167,-0.0122898611413419,-0.215870245721471,-0.460043411825041,-0.462492436097556,-0.25390909900883,-0.404104135278468,-0.523628508649032,-0.331766369504225,-1.1088841555105,-0.224457751997451,-0.161759828081828,-0.0256902781484938,-0.147066945317561,-0.0860917122352887
1943,-2.31426093157962,0.0283598222892475,-0.164748615474426,-0.482271088584588,-0.49181840540692,-0.228326411149947,-0.367820064640992,-0.556463299620423,-0.305368499416498,-0.943690712208487,-0.278526087237134,-0.137770190367144,0.0231411126798242,-0.116924463910289,-0.0883054553245256
1944,-1.96894512734698,-0.0117040697968563,-0.262828639033745,-0.478907860236402,-0.660042936971246,-0.225191898431705,-0.369858289817819,-0.527236218782785,-0.293008678289705,-0.711282509666337,-0.351682713463308,-0.29260805366887,0.0224899575736979,-0.114009199446192,-0.139609732943082
1945,-1.50350184179887,-0.00306071589609915,-0.284088482497675,-0.441101498427001,-0.738256637979082,-0.220682408241033,-0.406517965104877,-0.488749445245369,-0.271935795822058,-0.551733822891423,-0.375762781737119,-0.316768574744688,0.0517310827090169,-0.0730019379853087,-0.124677454849089
1946,-1.28059357301993,-0.0458216324424706,-0.357774214442758,-0.435385778852955,-0.834507431616177,-0.19851011378728,-0.452763805737941,-0.439937324253045,-0.244348056199265,-0.484736176937241,-0.381942975138271,-0.328301875380913,0.0306565325102853,-0.134276984956941,-0.205607061243448
1947,-1.60748010507039,-0.1027408500545,-0.404282728458899,-0.445814180741649,-0.904195056607408,-0.135575008607703,-0.471701898070375,-0.385600579513169,-0.216610956320978,-0.474658797512485,-0.394069146659954,-0.351411034870582,-0.0274146202693569,-0.149675966871598,-0.264444556454672
1948,-2.04005208160264,-0.202368341016438,-0.425148933798713,-0.426793061406313,-0.929366105698811,0.00271150017215425,-0.422201044355367,-0.351462282196903,-0.189179535084615,-0.502277188042687,-0.412217067887715,-0.365347966776125,-0.0949983359745579,-0.178248507405223,-0.285185305980528
1949,-2.21717901764093,-0.202368341016438,-0.398210774888913,-0.344735422837969,-0.943739442120631,0.10487487300699,-0.351340591426391,-0.28718199144698,-0.148597763102514,-0.476445789800491,-0.465921167428739,-0.320962610532919,-0.122789586820373,-0.218958473092646,-0.308518649197117
1950,-1.88727704584717,-0.276594869745192,-0.340091035146545,-0.252211733705707,-0.787077325812114,0.249346220634462,-0.285640197018538,-0.217532770446466,-0.112760010300661,-0.338973035960951,-0.387620041804857,-0.299328371040562,-0.147324165261641,-0.221654035232646,-0.290831566875504
1951,-1.252297356399,-0.290138676912325,-0.291660210975901,-0.193041894129713,-0.678226958871076,0.384983130645892,-0.280603153089487,-0.153618633642845,-0.056793409585226,-0.111179542456918,-0.319363722458305,-0.260825755307042,-0.139288691199082,-0.177362738709331,-0.255467350502331
1952,-0.855702595398179,-0.204339326964189,-0.143670352891797,-0.104307963761217,-0.588587536825691,0.528420400621735,-0.235139870869811,-0.0317438827840969,-0.109024402082093,0.0511231415657862,-0.16289681133959,-0.159399908256346,-0.12173861791153,-0.144735952708858,-0.212633307323517
