id_focal,id_tree,sp,distance_center,rumbo_degree,tree_height,tree_dbh,site
B25,381,Qpyr,820,69,5.4,9.23,CA-High
B25,382,Qpyr,544,82,5.2,8.12,CA-High
B25,383,Qpyr,895,172,12.3,42.97,CA-High
B25,384,Qpyr,997,171,8.6,14.96,CA-High
B26,412,Qpyr,927,164,5.3,9.07,CA-Low
B26,413,Qpyr,698,148,4.6,9.87,CA-Low
B26,414,Qpyr,932,104,5.7,11.46,CA-Low
B26,415,Qpyr,943,38,10.5,34.06,CA-Low
B26,416,Qpyr,508,314,6.8,11.46,CA-Low
B26,417,Qpyr,563,308,7.8,14.01,CA-Low
B26,418,Qpyr,465,281,5.4,10.03,CA-Low
B26,419,Qpyr,642,302,6.7,11.46,CA-Low
B26,420,Qpyr,817,322,6.3,11.14,CA-Low
B26,421,Qpyr,923,312,7.1,14.01,CA-Low
B26,422,Qpyr,782,288,7.8,12.1,CA-Low
B26,423,Qpyr,946,306,8.3,16.23,CA-Low
B26,424,Qpyr,745,280,5,10.03,CA-Low
B26,425,Qpyr,844,270,6.8,13.85,CA-Low
B26,426,Qpyr,866,272,7.3,12.1,CA-Low
B27,407,Qpyr,258,328,10.1,36.13,CA-Low
B27,408,Qpyr,792,14,9,19.1,CA-Low
B27,409,Qpyr,999,20,7.6,17.51,CA-Low
B27,410,Qpyr,360,50,12.7,39.79,CA-Low
B27,411,Qpyr,318,230,10.5,34.06,CA-Low
B28,427,Qpyr,233,48,12.9,35.97,CA-Low
B28,428,Qpyr,424,96,9,22.92,CA-Low
B28,429,Qpyr,370,138,8.6,14.01,CA-Low
B28,430,Qpyr,433,142,7.5,14.32,CA-Low
B28,431,Qpyr,383,170,7.4,15.92,CA-Low
B28,432,Qpyr,224,150,9.4,16.23,CA-Low
B28,433,Qpyr,898,128,9.5,18.62,CA-Low
B28,434,Qpyr,800,358,10.8,35.65,CA-Low
B29,435,Qpyr,382,122,10.7,37.24,CA-Low
B29,436,Qpyr,809,179,5.7,18.62,CA-Low
B29,437,Qpyr,950,216,9.1,31.99,CA-Low
B29,438,Qpyr,598,252,12.9,38.52,CA-Low
B29,439,Qpyr,864,252,3.7,8.28,CA-Low
B29,440,Qpyr,303,217,4.2,8.28,CA-Low
B29,441,Qpyr,273,318,6.1,15.6,CA-Low
B29,442,Qpyr,989,325,13.4,42.65,CA-Low
B29,443,Qpyr,404,40,4.9,10.19,CA-Low
B29,444,Qpyr,682,57,5.3,11.94,CA-Low
B29,445,Qpyr,445,115,7.4,15.92,CA-Low
B29,446,Qpyr,641,140,5.7,10.19,CA-Low
B30,447,Qpyr,341,138,13.4,42.65,CA-Low
B30,448,Qpyr,248,101,4.9,10.19,CA-Low
B30,449,Qpyr,768,207,9.4,18.62,CA-Low
B30,450,Qpyr,775,225,10.8,21.65,CA-Low
B30,451,Qpyr,965,212,4.4,10.82,CA-Low
B30,452,Qpyr,577,231,6.9,12.73,CA-Low
B30,453,Qpyr,518,237,10.9,18.62,CA-Low
B30,454,Qpyr,615,220,10.5,20.37,CA-Low
B30,455,Qpyr,724,282,13.1,25.62,CA-Low
B30,456,Qpyr,687,290,11.8,16.87,CA-Low
B30,457,Qpyr,713,292,10.9,14.96,CA-Low
B30,458,Qpyr,869,291,10.4,21.65,CA-Low
B30,459,Qpyr,643,324,6.4,11.78,CA-Low
B30,460,Qpyr,573,324,5.9,14.16,CA-Low
B30,461,Qpyr,410,324,12,21.96,CA-Low
B30,462,Qpyr,244,2,7.4,13.05,CA-Low
B30,463,Qpyr,319,17,10,12.1,CA-Low
B30,464,Qpyr,974,17,11.9,18.3,CA-Low
B30,465,Qpyr,828,66,12.5,13.05,CA-Low
B30,466,Qpyr,990,66,10.2,21.01,CA-Low
B30,467,Qpyr,993,79,9.4,42.34,CA-Low
