"years","CA11","CA12","CA13","CA14","CA15","CA16","CA17","CA18","CA19","CA20","CA21","CA22","CA23","CA24","CA25"
1921,-0.177261613691931,-0.156928213689482,-0.182403433476395,-0.0523255813953489,-0.230569948186529,-0.210059171597633,-0.172330097087379,-0.168514412416851,-0.477111540941328,-0.182555780933063,-0.188470066518847,-0.195364238410596,-0.0326797385620916,-0.11943793911007,0.0796252927400468
1922,-0.143765903307888,-0.181523500810373,-0.146231721034871,-0.0406976744186048,-0.297619047619048,-0.137108792846498,-0.150375939849624,-0.133949191685912,-0.452917771883289,-0.14020618556701,-0.223451327433628,-0.210169491525424,-0.0588235294117646,-0.155092592592593,-0.0441501103752758
1923,-0.141221374045801,-0.218800648298217,-0.168728908886389,-0.0523255813953489,-0.298941798941799,0,-0.150375939849624,-0.133949191685912,-0.419098143236074,-0.0804123711340206,-0.20575221238938,-0.230508474576271,-0.0239651416122003,-0.143518518518519,-0.111801242236025
1924,-0.141221374045801,-0.21025641025641,-0.148859543817527,-0.0600775193798451,-0.322192513368984,0.0676818950930627,-0.152882205513785,-0.0566502463054188,-0.415395284327323,-0.0169133192389006,-0.236725663716814,-0.218309859154929,-0.0239651416122003,-0.164351851851852,-0.14949494949495
1925,-0.122555410691004,-0.235398230088496,-0.169267707082833,-0.119485294117647,-0.345238095238095,0.00338409475465306,-0.152882205513785,-0.0615763546798031,-0.390168970814132,-0.00852878464818764,-0.263274336283186,-0.214285714285714,-0.03030303030303,-0.186206896551724,-0.178356713426854
1926,-0.122448979591837,-0.269026548672566,-0.241844769403825,-0.136029411764706,-0.335180055401662,0.0458553791887125,-0.128865979381443,-0.00781249999999995,-0.246653919694073,0.0592255125284737,-0.260579064587973,-0.217391304347826,-0.0505494505494505,-0.186206896551724,-0.178356713426854
1927,-0.171428571428571,-0.245810055865922,-0.357366771159875,-0.0939334637964774,-0.320289855072464,-0.0511463844797178,-0.154241645244216,-0.0312499999999999,-0.249240121580547,0.0227790432801821,-0.289237668161435,-0.235507246376812,-0.0897155361050328,-0.17096018735363,-0.178356713426854
1928,-0.161702127659575,-0.237911025145068,-0.379269729093051,-0.066,-0.308259587020649,-0.0543071161048689,-0.155672823218997,-0.0421052631578947,-0.179401993355482,0.114143920595534,-0.30184331797235,-0.230483271375465,-0.0897155361050328,-0.125925925925926,-0.196392785571142
1929,-0.213973799126638,-0.2465483234714,-0.406976744186047,-0.066,-0.289193302891933,-0.241573033707865,-0.134986225895317,-0.107049608355091,-0.245939675174014,0.0694789081885857,-0.298029556650246,-0.220532319391635,-0.0962800875273524,-0.144607843137255,-0.204819277108434
1930,-0.296296296296296,-0.345167652859961,-0.440944881889764,-0.0484848484848484,-0.291731669266771,-0.303370786516854,-0.11304347826087,-0.185378590078329,-0.393023255813953,0.0297766749379653,-0.327176781002639,-0.219607843137255,-0.0825892857142859,-0.1375,-0.204081632653061
1931,-0.463595839524517,-0.39009900990099,-0.440944881889764,-0.0184049079754601,-0.223905723905724,-0.254681647940075,-0.102639296187683,-0.114666666666667,-0.403205918618989,-0.0744416873449131,-0.221311475409836,-0.156378600823045,-0.0585585585585585,-0.0718085106382978,-0.154013015184382
1932,-0.589895988112927,-0.461386138613862,-0.444005270092227,-0.0303030303030302,-0.193973634651601,-0.395509499136442,-0.115044247787611,-0.117333333333333,-0.461818181818182,-0.203836930455635,-0.273504273504274,-0.107296137339056,-0.0324074074074075,-0.0547945205479453,-0.152424942263279
1933,-0.591111111111111,-0.473029045643154,-0.428958051420839,0.00204498977505108,-0.218867924528302,-0.477020602218701,-0.138643067846608,-0.154666666666667,-0.514840182648402,-0.311659192825112,-0.289693593314763,-0.0837004405286343,-0.0669642857142859,-0.0864864864864864,-0.2004662004662
1934,-0.591111111111111,-0.45021645021645,-0.404795486600846,0.0804123711340207,-0.143984220907298,-0.477020602218701,-0.136094674556213,-0.172323759791123,-0.495848161328588,-0.339784946236559,-0.260869565217391,-0.0630630630630631,-0.0669642857142859,-0.0637119113573407,-0.258907363420427
1935,-0.589895988112927,-0.412037037037037,-0.417630057803468,0.093945720250522,-0.147474747474747,-0.443507588532884,-0.153846153846154,-0.20734908136483,-0.478589420654912,-0.372043010752688,-0.276276276276276,-0.0545454545454546,-0.0825892857142859,-0.0451977401129943,-0.304878048780488
1936,-0.572093023255814,-0.38498789346247,-0.402077151335312,0.161702127659575,-0.120833333333333,-0.426644182124789,-0.136094674556213,-0.20734908136483,-0.474619289340102,-0.372043010752688,-0.274096385542169,-0.0370370370370371,-0.0324074074074075,-0.0451977401129943,-0.304878048780488
1937,-0.456486042692939,-0.296296296296296,-0.357723577235772,0.1792656587473,-0.0916844349680172,-0.368029739776952,-0.112462006079027,-0.188172043010753,-0.426450742240216,-0.349665924276169,-0.192429022082019,-0.0142180094786729,0.0048076923076922,-0.0282485875706214,-0.304878048780488
1938,-0.362098138747885,-0.180203045685279,-0.210626185958254,0.169164882226981,-0.100213219616205,-0.316831683168317,-0.0499999999999999,-0.17032967032967,-0.426450742240216,-0.316258351893096,-0.0792079207920793,0.00483091787439625,0.0048076923076922,-0.0338983050847458,-0.28927680798005
1939,-0.246296296296296,-0.154450261780105,-0.0152505446623094,0.169164882226981,-0.0963597430406851,-0.0938271604938271,-0.0700636942675159,-0.12280701754386,-0.363076923076923,-0.292343387470998,-0.0210526315789472,0.00487804878048792,0.00968523002421308,-0.0401146131805159,-0.28030303030303
1940,-0.0989473684210526,-0.0271084337349397,0.0610328638497652,0.142250530785563,-0.0704845814977974,-0.0134408602150537,-0.0718954248366012,-0.0737179487179489,-0.239463601532567,-0.226506024096385,0.0941176470588236,0.035175879396985,0.00729927007299298,-0.028985507246377,-0.269230769230769
1941,0.25207756232687,0.0681818181818182,0.0610328638497652,0.0999999999999999,-0.0997830802603037,-0.123115577889447,-0.101307189542484,-0.189759036144578,-0.179752066115702,-0.14745308310992,-0.094736842105263,-0.0146341463414633,-0.0430622009569377,-0.0458452722063038,-0.248717948717949
1942,0.63768115942029,0.279411764705883,0.123222748815166,-0.00416666666666676,-0.014018691588785,-0.0028571428571428,-0.0833333333333333,-0.244712990936556,-0.126126126126126,-0.0421686746987954,0.011764705882353,-0.0288461538461539,-0.0430622009569377,-0.0202898550724638,-0.147138964577657
1943,0.661231884057971,0.39763779527559,0.151658767772512,-0.159183673469388,0.0144927536231883,0.0575757575757577,-0.0821917808219179,-0.26813880126183,-0.0870588235294118,0.035830618892508,-0.0470588235294118,-0.0576923076923077,-0.0789473684210525,-1.31387340192326e-16,-0.087463556851312
1944,0.661231884057971,0.476377952755905,0.151658767772512,-0.213740458015267,-0.032258064516129,0.0575757575757577,-0.0821917808219179,-0.299684542586751,-0.0870588235294118,0.00651465798045589,-0.0705882352941175,-0.0576923076923077,-0.11244019138756,-1.31387340192326e-16,0.0641025641025642
1945,0.67572463768116,0.476377952755905,0.26302729528536,-0.217557251908397,0,0.121212121212121,-0.0384615384615386,-0.264900662251656,-0.0265700483091788,0.0890410958904109,0.00829875518672181,-0.0576923076923077,-0.0705596107055959,0.0118343195266271,0.185964912280702
1946,0.67572463768116,0.437007874015748,0.297766749379653,-0.26007326007326,0,0.0882352941176471,-0.0821917808219179,-0.264900662251656,0.00966183574879206,0.0890410958904109,-0.016597510373444,-0.0673076923076924,-0.0861244019138755,0.0236686390532543,0.185964912280702
1947,0.397280966767372,0.280701754385965,0.324050632911392,-0.296703296703297,-0.00704225352112661,0.0235294117647059,-0.0821917808219179,-0.264900662251656,-0.0164705882352942,0.0582191780821918,-0.109375,-0.120192307692308,-0.174641148325359,-0.0174418604651164,0.164912280701754
1948,0.29973474801061,0.0990712074303405,0.286057692307692,-0.296703296703297,0.00236966824644545,0.00579710144927524,-0.12171052631579,-0.264900662251656,-0.0164705882352942,-0.0716612377850163,-0.204301075268817,-0.144230769230769,-0.203349282296651,-0.0526315789473683,0.164912280701754
1949,0.328009828009828,0.130030959752322,0.157079646017699,-0.269230769230769,0.00236966824644545,-0.0544959128065396,-0.0993150684931507,-0.233333333333333,0.0169082125603865,-0.00983606557377043,-0.204301075268817,-0.135922330097087,-0.146282973621103,0.0268656716417911,0.164912280701754
1950,0.382009345794392,0.191950464396285,0.157079646017699,-0.258364312267658,0.0260663507109003,0.0136239782016348,-0.0739436619718311,-0.169550173010381,0.0982367758186398,-0.059190031152648,-0.204301075268817,-0.111650485436893,-0.0772946859903382,0.0716417910447762,0.168421052631579
1951,0.401548672566372,0.109422492401216,0.11283185840708,-0.246212121212121,0.0433734939759035,0.166189111747851,-0.0690909090909091,-0.0892193308550185,0.191435768261965,-0.0503144654088049,-0.13953488372093,-0.0841584158415842,-0.085,0.078078078078078,0.0955631399317407
1952,0.48783185840708,0.0201149425287355,0.0611814345991563,-0.167364016736402,0.00236966824644545,0.191977077363897,-0.0690909090909091,-0.0280000000000001,0.219072164948454,-0.0220125786163522,-0.13953488372093,-0.0841584158415842,-0.0574999999999999,0.0710059171597634,-0.0255591054313099
1953,0.466739367502726,-0.00281690140845064,-0.0802469135802467,-0.0339805825242719,-0.0166666666666667,0.191977077363897,-0.0746268656716417,0.0474137931034482,0.219072164948454,-0.0220125786163522,-0.0864197530864196,-0.0153061224489796,-0.0207792207792207,0.0710059171597634,-0.0255591054313099
1954,0.466739367502726,-0.0666666666666667,-0.197530864197531,-0.150485436893204,-0.0976190476190476,0.148997134670487,-0.100746268656716,0.0945945945945946,0.182989690721649,0,-0.080168776371308,-0.0510204081632654,0.0107816711590297,0.0325443786982249,-0.183734939759036
1955,0.454054054054054,-0.0666666666666667,-0.275049115913556,-0.214634146341463,-0.109004739336493,0.0837837837837837,-0.141818181818182,0.0720720720720721,-0.00496277915632766,-0.0943396226415094,-0.135802469135802,-0.0510204081632654,-0.018324607329843,0.00877192982456148,-0.281065088757397
1956,0.494054054054054,-0.0794520547945206,-0.326959847036329,-0.207920792079208,-0.161137440758294,0.0351351351351351,-0.119402985074627,0.00900900900900922,-0.150717703349282,-0.119496855345912,-0.143459915611814,-0.00515463917525774,-0.0471204188481677,-0.00289017341040456,-0.304733727810651
1957,0.532972972972973,-0.041095890410959,-0.361376673040153,-0.1953125,-0.184397163120568,0.100574712643678,-0.123134328358209,-0.0450450450450449,-0.267942583732057,-0.0938511326860842,-0.114035087719298,0.0546448087431695,0.0550724637681158,0.0325443786982249,-0.292168674698795
1958,0.454081632653061,-0.0140845070422535,-0.424299065420561,-0.229166666666667,-0.179669030732861,0.103746397694525,-0.142322097378277,0.018018018018018,-0.332535885167464,-0.0175438596491229,-0.0900900900900902,0.0842696629213484,0.093093093093093,0.0925925925925925,-0.292168674698795
1959,0.345975948196115,-0.041095890410959,-0.411089866156788,-0.265664160401003,-0.179669030732861,0.103746397694525,-0.129277566539924,-0.0173913043478261,-0.33729216152019,-0.0794701986754968,-0.0900900900900902,0.101123595505618,-0.0084269662921349,0.0290697674418605,-0.289156626506024
1960,0.229923922231615,-0.103896103896104,-0.411089866156788,-0.265664160401003,-0.198614318706698,0.013440860215054,-0.129277566539924,-0.0583333333333334,-0.360091743119266,-0.0794701986754968,-0.0900900900900902,0.0710382513661203,-0.138743455497382,-0.0139275766016713,-0.291291291291291
1961,0.148382004735596,-0.0547945205479453,-0.387673956262425,-0.263819095477387,-0.18013856812933,-0.0737100737100737,-0.11328125,-0.0775510204081634,-0.41014799154334,-0.0794701986754968,-0.0900900900900902,0.091891891891892,-0.14207650273224,0.0194986072423399,-0.227414330218069
1962,0.0594795539033458,-0.0281690140845069,-0.387673956262425,-0.261306532663317,-0.156028368794326,-0.177884615384615,-0.1015625,0.0123456790123458,-0.41014799154334,-0.106109324758842,-0.0855855855855856,0.091891891891892,-0.16710875331565,0.0497237569060774,-0.20327868852459
1963,0.0594795539033458,0,-0.252796420581656,-0.253768844221106,-0.130750605326877,-0.105769230769231,-0.0766129032258064,0.181069958847737,-0.367864693446089,-0.0996784565916399,-0.0585585585585587,0.0932642487046634,-0.16710875331565,0.143646408839779,-0.173770491803279
1964,0.0594795539033458,0.0114285714285714,-0.117948717948718,-0.151428571428571,-0.0527704485488127,-0.0723192019950124,-0.049792531120332,0.292181069958848,-0.224400871459695,-0.087378640776699,-0.0412844036697249,0.134408602150538,-0.162666666666667,0.232091690544412,-0.0332103321033211
1965,0.0364312267657993,0.0114285714285714,-0.05420054200542,-0.0776397515527952,-0.0691489361702127,-0.144638403990025,-0.021186440677966,0.319327731092437,-0.0274314214463839,0.00694444444444445,-0.00952380952380953,0.102150537634409,-0.210666666666667,0.327536231884058,0.0781893004115226
1966,-0.00361794500723594,0.0535714285714285,0.0397727272727273,-0.078125,0.0141242937853107,-0.140992167101828,0,0.401785714285714,0.126760563380282,0.0285714285714286,0.0246305418719211,0.0621761658031088,-0.260989010989011,0.327536231884058,0.161702127659575
1967,-0.157263751763047,-0.0685714285714286,0.095808383233533,-0.0453074433656957,0.0405797101449276,-0.154046997389034,0.00425531914893608,0.481132075471698,0.30718954248366,0.0285714285714286,0.0297029702970297,0.0621761658031088,-0.260989010989011,0.312320916905444,0.161702127659575
1968,-0.287017543859649,0.0114285714285714,0.269480519480519,-0.00337837837837831,0.0403458213256486,-0.154046997389034,0.0611353711790392,0.389380530973451,0.494623655913978,0.0392857142857144,0.0643564356435645,0.0621761658031088,-0.236263736263736,0.338983050847458,0.178723404255319
1969,-0.301718213058419,-0.0657142857142857,0.194805194805195,0.00682593856655306,0.0403458213256486,-0.180156657963447,0.0655021834061135,0.389380530973451,0.494623655913978,0.0683453237410072,0.0544554455445544,0.0612244897959184,-0.212464589235127,0.319209039548023,0.199152542372881
1970,-0.301718213058419,-0.0173913043478261,0.230519480519481,-0.023890784982935,0.0403458213256486,-0.177718832891247,0.0655021834061135,0.305309734513275,0.53405017921147,0.0791366906474821,0.0247524752475249,0.0204081632653061,-0.106382978723404,0.274011299435028,0.207627118644068
1971,-0.336082474226804,-0.0985507246376812,0.149350649350649,-0.061433447098976,0.0169014084507044,-0.190981432360743,0.0748898678414097,0.247787610619469,0.494623655913978,0.0683453237410072,-0.0198019801980198,-0.0396039603960396,-0.14968152866242,0.174863387978142,0.173387096774194
1972,-0.289824561403509,-0.0550724637681159,0.230519480519481,-0.0680272108843538,0.042016806722689,-0.108187134502924,0.0782608695652173,0.146341463414634,0.494623655913978,0.0467625899280577,-0.0246305418719213,-0.0742574257425743,-0.168789808917197,0.142105263157895,0.218106995884774
1973,-0.337543859649123,-0.115819209039548,0.0598802395209581,-0.0909090909090908,0.0557103064066853,-0.180107526881721,0.104803493449782,-0.0278745644599303,0.25752508361204,-0.0178571428571428,-0.0526315789473684,-0.132701421800948,-0.181528662420382,0.00241545893719802,0.178571428571429
1974,-0.352280701754386,-0.076271186440678,0.0290697674418605,-0.0909090909090908,0.0584958217270195,-0.193548387096774,0.126637554585153,-0.111464968152866,-0.044943820224719,-0.0815602836879433,-0.0287081339712917,-0.132701421800948,-0.168789808917197,-0.0209302325581395,0.148854961832061
1975,-0.314921090387374,-0.076271186440678,-0.0114613180515759,-0.111111111111111,0.1,-0.134110787172012,0.121212121212121,-0.111464968152866,-0.135897435897436,-0.124137931034483,-0.00961538461538462,-0.107317073170732,-0.108108108108108,-0.124454148471616,0.16412213740458
1976,-0.306463326071169,-0.03954802259887,-0.0573770491803279,-0.105084745762712,0.100278551532034,-0.0972644376899695,0.0974576271186441,-0.111464968152866,-0.165,-0.100694444444444,0.00961538461538462,-0.107317073170732,-0.0185873605947956,-0.141921397379913,0.293040293040293
1977,-0.194979079497908,0.0858895705521473,-0.00273224043715841,-0.0847457627118644,0.139275766016713,-0.052469135802469,0.105932203389831,-0.0923566878980893,-0.165,-0.0902777777777777,0.00961538461538462,-0.0878048780487804,0.00371747211895919,-0.141921397379913,0.47985347985348
1978,-0.0531496062992125,0,-0.0664961636828644,-0.0711864406779662,0.132963988919667,-0.0401234567901233,0.0740740740740743,-0.0636942675159236,-0.199040767386091,-0.0996563573883162,-0.0232558139534885,-0.0536585365853658,0.0575539568345326,-0.20253164556962,0.483754512635379
1979,-0.0531496062992125,0.204892966360856,0.0244565217391305,-0.0474576271186443,0.130193905817174,0.0222929936305733,0.0614754098360655,-0.0636942675159236,-0.191846522781775,-0.131313131313131,-0.0328638497652581,-0.0913461538461538,-0.0359712230215828,-0.203426124197002,0.487632508833922
1980,-0.0531496062992125,0.147492625368731,-0.00527704485488127,-0.0174825174825177,0.174515235457064,0.0903225806451614,0.0614754098360655,0.0203389830508473,-0.212616822429907,-0.14,-0.00483091787439625,-0.075,-0.0884353741496599,-0.175166297117517,0.508771929824562
1981,0.025879917184265,0.334405144694534,0.166666666666667,0.0545454545454547,0.204986149584488,0.19016393442623,0.0614754098360655,0.074468085106383,-0.235011990407674,-0.117845117845118,0.0606060606060607,-0.0257731958762886,0.0749063670411986,-0.120930232558139,0.494845360824742
1982,0.0869565217391303,0.273006134969325,0.0316622691292875,0.0875912408759127,0.204301075268817,0.291803278688525,0.0443548387096774,0.0673758865248225,-0.247002398081535,-0.0859106529209622,0.0656565656565658,0.0320855614973264,0.0996168582375478,-0.163594470046083,0.493243243243243
1983,0.317796610169491,0.325878594249201,0.104519774011299,0.129629629629629,0.184696569920844,0.291803278688525,0.0197628458498023,0.078853046594982,-0.164893617021277,-0.010909090909091,0.0656565656565658,0.0765027322404371,0.178988326848249,-0.125301204819277,0.488215488215488
1984,0.347778981581798,0.18960244648318,0.104519774011299,0.129629629629629,0.181578947368421,0.313333333333333,-0.0542635658914729,0.053763440860215,-0.0823529411764705,0.0501930501930502,0.019704433497537,0.0546448087431694,0.0996168582375478,-0.166270783847981,0.451827242524917
1985,0.30261780104712,0.146788990825688,0.133333333333333,0.15530303030303,0.137662337662338,0.326599326599327,-0.123552123552123,0.053763440860215,-0.0741839762611276,0.0708661417322834,-0.0436893203883496,0.0546448087431694,0.0871212121212123,-0.144638403990025,0.409836065573771
1986,0.30261780104712,0.220588235294117,0.228985507246377,0.15530303030303,0.108860759493671,0.447811447811448,-0.0579150579150579,0.046594982078853,0.0329341317365269,0.0270270270270271,-0.061904761904762,0.0765027322404371,0.147727272727273,-0.106870229007634,0.274787535410765
1987,0.323284823284823,0.19774011299435,0.282191780821918,0.114814814814815,0.0709046454767726,0.501628664495114,-0.153256704980843,-0.0877192982456139,-0.00598802395209595,0.00763358778625938,-0.061904761904762,0.0267379679144384,0.122222222222222,-0.106870229007634,0.148514851485149
1988,0.293139293139293,0.19774011299435,0.0712328767123286,0.0693430656934308,0.0709046454767726,0.337620578778135,-0.191570881226054,-0.204081632653061,-0.0658682634730539,-0.0839694656488549,-0.061904761904762,-0.0103092783505155,-0.0238095238095239,-0.132275132275132,0.119221411192214
1989,0.282744282744283,0.0126903553299493,-0.0477453580901857,-0.0427046263345193,0.00245098039215681,0.133956386292835,-0.189189189189189,-0.238095238095238,-0.0741839762611276,-0.108527131782946,0.00485436893203895,-1.17483917949752e-16,0,-0.209677419354839,0.0451306413301664
1990,0.282744282744283,0.0745501285347044,-0.0477453580901857,0.0604982206405695,-0.117924528301887,0.0769230769230769,-0.189189189189189,-0.255813953488372,-0.0741839762611276,-0.108527131782946,0.0194174757281554,0.0432432432432432,0.00373134328358218,-0.209677419354839,0.0232558139534883
1991,0.176589303733602,-0.130120481927711,-0.130750605326877,0.00689655172413778,-0.188505747126437,-0.115702479338843,-0.189189189189189,-0.260726072607261,0.0407523510971787,-0.122137404580153,0,0.0105820105820105,-0.0627177700348433,-0.26984126984127,0.0114942528735634
1992,0.04,0.021686746987952,-0.0332480818414321,-0.0201342281879196,-0.212053571428571,-0.185279187817259,-0.189189189189189,-0.255813953488372,0.0636942675159236,-0.135338345864662,-0.018957345971564,-0.0103626943005183,0.0871080139372822,-0.239669421487603,0.0339366515837105
1993,-0.0803858520900322,0.101204819277109,0.250639386189259,-0.0819672131147541,-0.21380846325167,0.0456852791878173,-0.13953488372093,-0.249169435215947,0.101910828025478,-0.154411764705882,0.00947867298578179,-0.0304568527918782,0.0726072607260725,-0.239669421487603,0.0904977375565612
1994,-0.045016077170418,0.210796915167095,0.434782608695652,-0.0360655737704918,-0.167037861915367,0.157360406091371,-0.0327868852459017,-0.17687074829932,0.144230769230769,0.00735294117647076,0.106280193236715,0.0207253886010362,0.132404181184669,-0.13960113960114,0.173913043478261
1995,-0.045016077170418,0.256,0.434782608695652,-0.0360655737704918,-0.0365296803652968,0.16497461928934,0.0792951541850221,-0.170068027210884,0.355769230769231,0.150735294117647,0.17766497461929,0.0621761658031086,0.132404181184669,-0.0262390670553935,0.193023255813954
1996,-0.0803858520900322,0.101204819277109,0.153301886792453,-0.0852459016393442,0.050228310502283,0.0604651162790699,0.0040983606557378,-0.164383561643836,0.359420289855072,0.176691729323308,0.223350253807107,0,0.0462046204620461,-0.0655270655270655,0.106666666666667
1997,-0.157109190887667,0.0117924528301886,-0.132478632478632,-0.0730897009966778,0.0547945205479453,-0.110629067245119,0.113122171945701,-0.0576923076923077,0.475903614457832,0.185606060606061,0.258883248730964,0.0468749999999999,-0.0627062706270628,-0.0313390313390313,0.0172413793103448
1998,-0.110932475884244,-0.0613207547169812,0.0383631713554989,-0.0477815699658703,0.0547945205479453,-0.014423076923077,0.165876777251185,0.0512820512820513,0.586538461538462,0.304166666666666,0.258883248730964,0.0208333333333334,-0.010452961672474,0.0640243902439024,0.0260869565217393
1999,-0.0729335494327391,0.0751879699248121,0.289693593314763,0.0929368029739775,0.15158924205379,0.181318681318682,0.195238095238095,0.129464285714286,0.618589743589744,0.360869565217391,0.314009661835748,0.0370370370370371,0.201492537313433,0.207482993197279,0.131818181818182
2000,-0.0729335494327391,0.0263157894736843,0.289693593314763,-0.0134228187919463,0.275401069518717,0.181318681318682,0.195238095238095,0.133928571428571,0.669871794871795,0.4,0.295238095238095,0.0414507772020725,0.197026022304833,0.289115646258503,0.143181818181818
