"vb","value","date"
"TM3",13.8,1956-01-31
"TM4",-1.6,1956-01-31
"PM1",63.3,1956-01-31
"TM1",5,1956-02-29
"TM2",0.4,1956-02-29
"TM3",9.7,1956-02-29
"TM4",-5.5,1956-02-29
"PM1",50.5,1956-02-29
"TM1",10.7,1956-03-31
"TM2",6.2,1956-03-31
"TM3",15.1,1956-03-31
"TM4",2.2,1956-03-31
"PM1",85.1,1956-03-31
"TM1",11.5,1956-04-30
"TM2",7,1956-04-30
"TM3",16,1956-04-30
"TM4",3.4,1956-04-30
"PM1",99,1956-04-30
"TM1",15.4,1956-05-31
"TM2",9.4,1956-05-31
"TM3",21.4,1956-05-31
"TM4",4.6,1956-05-31
"PM1",5.5,1956-05-31
"TM1",18.2,1956-06-30
"TM2",12.7,1956-06-30
"TM3",23.6,1956-06-30
"TM4",10.2,1956-06-30
"PM1",0,1956-06-30
"TM1",21.7,1956-07-31
"TM2",15.2,1956-07-31
"TM3",28.1,1956-07-31
"TM4",12.4,1956-07-31
"PM1",2.9,1956-07-31
"TM1",22.8,1956-08-31
"TM2",16.4,1956-08-31
"TM3",29.3,1956-08-31
"TM4",12,1956-08-31
"PM1",7.5,1956-08-31
"TM1",19.6,1956-09-30
"TM2",13.5,1956-09-30
"TM3",25.6,1956-09-30
"TM4",8.4,1956-09-30
"PM1",35.8,1956-09-30
"TM1",16,1956-10-31
"TM2",10.9,1956-10-31
"TM3",21,1956-10-31
"TM4",3.8,1956-10-31
"PM1",15.6,1956-10-31
"TM1",9.7,1956-11-30
"TM2",4.2,1956-11-30
"TM3",15.3,1956-11-30
"TM4",0.4,1956-11-30
"PM1",36.4,1956-11-30
"TM1",8.2,1956-12-31
"TM2",2.8,1956-12-31
"TM3",13.6,1956-12-31
"TM4",-1,1956-12-31
"PM1",11.7,1956-12-31
"TM1",6.7,1957-01-31
"TM2",1.4,1957-01-31
"TM3",12,1957-01-31
"TM4",-4.2,1957-01-31
"PM1",71.9,1957-01-31
"TM1",12.2,1957-02-28
"TM2",6.7,1957-02-28
"TM3",17.6,1957-02-28
"TM4",2.4,1957-02-28
"PM1",25.4,1957-02-28
"TM1",13.5,1957-03-31
"TM2",8.3,1957-03-31
"TM3",18.7,1957-03-31
"TM4",5,1957-03-31
"PM1",30,1957-03-31
"TM1",11.4,1957-04-30
"TM2",6.9,1957-04-30
"TM3",15.8,1957-04-30
"TM4",3.2,1957-04-30
"PM1",101.5,1957-04-30
"TM1",14.9,1957-05-31
"TM2",10,1957-05-31
"TM3",19.8,1957-05-31
"TM4",5.8,1957-05-31
"PM1",43.2,1957-05-31
"TM1",17.7,1957-06-30
"TM2",12,1957-06-30
"TM3",23.4,1957-06-30
"TM4",7.6,1957-06-30
"PM1",7.5,1957-06-30
"TM1",22.3,1957-07-31
"TM2",16.5,1957-07-31
"TM3",28.2,1957-07-31
"TM4",13.4,1957-07-31
"PM1",0,1957-07-31
"TM1",23.4,1957-08-31
"TM2",17.4,1957-08-31
"TM3",29.3,1957-08-31
"TM4",14.2,1957-08-31
"TM1",21.1,1957-09-30
"TM2",15.7,1957-09-30
"TM3",26.6,1957-09-30
"TM4",13.8,1957-09-30
"PM1",9.7,1957-09-30
"TM1",14.9,1957-10-31
"TM2",10.2,1957-10-31
"TM3",19.5,1957-10-31
"TM4",5.6,1957-10-31
"PM1",66.5,1957-10-31
"TM1",10.8,1957-11-30
"TM2",6.1,1957-11-30
"TM3",15.6,1957-11-30
"TM4",2,1957-11-30
"PM1",43,1957-11-30
"TM1",7.8,1957-12-31
"TM2",3.1,1957-12-31
"TM3",12.6,1957-12-31
"TM4",-0.2,1957-12-31
"PM1",103.2,1957-12-31
"TM1",8.4,1958-01-31
"TM2",3.6,1958-01-31
"TM3",13.2,1958-01-31
"TM4",-1,1958-01-31
"PM1",43.3,1958-01-31
"TM1",11.8,1958-02-28
"TM2",6.7,1958-02-28
"TM3",16.9,1958-02-28
"TM4",-1.3,1958-02-28
"PM1",26.6,1958-02-28
"TM1",11.6,1958-03-31
"TM2",6.2,1958-03-31
"TM3",16.9,1958-03-31
"TM4",0.3,1958-03-31
"PM1",60.1,1958-03-31
"TM1",12.5,1958-04-30
"TM2",6.9,1958-04-30
"TM3",18.1,1958-04-30
"TM4",0.8,1958-04-30
"PM1",51,1958-04-30
"TM1",17.5,1958-05-31
"TM2",11.2,1958-05-31
"TM3",23.8,1958-05-31
"TM4",6.7,1958-05-31
"PM1",9.4,1958-05-31
"TM1",19.4,1958-06-30
"TM2",13.1,1958-06-30
"TM3",25.6,1958-06-30
"TM4",7.9,1958-06-30
"PM1",4,1958-06-30
"TM1",21.5,1958-07-31
"TM2",15,1958-07-31
"TM3",28,1958-07-31
"TM4",9.8,1958-07-31
"PM1",0,1958-07-31
"TM1",22.4,1958-08-31
"TM2",16.4,1958-08-31
"TM3",28.3,1958-08-31
"TM4",12.4,1958-08-31
"PM1",0,1958-08-31
"TM1",21.7,1958-09-30
"TM2",15.4,1958-09-30
"TM3",27.9,1958-09-30
"TM4",13.5,1958-09-30
"PM1",1.1,1958-09-30
"TM1",15.7,1958-10-31
"TM2",10,1958-10-31
"TM3",21.3,1958-10-31
"TM4",5.7,1958-10-31
"PM1",48.3,1958-10-31
