"vb","value","date"
"TM1",16.4,1956-10-31
"TM2",9.3,1956-10-31
"TM3",23.5,1956-10-31
"TM4",1.4,1956-10-31
"PM1",11.1,1956-10-31
"TM1",8.1,1956-11-30
"TM2",2.1,1956-11-30
"TM3",14,1956-11-30
"TM4",-1,1956-11-30
"PM1",36.2,1956-11-30
"TM1",6,1956-12-31
"TM2",-0.7,1956-12-31
"TM3",12.8,1956-12-31
"TM4",-4.6,1956-12-31
"PM1",28.7,1956-12-31
"TM1",4.1,1957-01-31
"TM2",-2.3,1957-01-31
"TM3",10.5,1957-01-31
"TM4",-11,1957-01-31
"PM1",52,1957-01-31
"TM1",9.8,1957-02-28
"TM2",2.4,1957-02-28
"TM3",17.2,1957-02-28
"TM4",-2.5,1957-02-28
"PM1",15,1957-02-28
"TM1",12.4,1957-03-31
"TM2",5,1957-03-31
"TM3",19.7,1957-03-31
"TM4",2,1957-03-31
"PM1",36.7,1957-03-31
"TM1",11.4,1957-04-30
"TM2",5.2,1957-04-30
"TM3",17.6,1957-04-30
"TM4",0.8,1957-04-30
"PM1",68.7,1957-04-30
"TM1",15.3,1957-05-31
"TM2",9,1957-05-31
"TM3",21.6,1957-05-31
"TM4",4.6,1957-05-31
"PM1",64.1,1957-05-31
"TM1",19,1957-06-30
"TM2",11.3,1957-06-30
"TM3",26.6,1957-06-30
"TM4",6.8,1957-06-30
"PM1",7.6,1957-06-30
"TM1",25.4,1957-07-31
"TM2",16.6,1957-07-31
"TM3",34.2,1957-07-31
"TM4",12.5,1957-07-31
"PM1",0,1957-07-31
"TM1",26,1957-08-31
"TM2",18,1957-08-31
"TM3",34,1957-08-31
"TM4",14,1957-08-31
"PM1",0.9,1957-08-31
"TM1",23.1,1957-09-30
"TM2",15.5,1957-09-30
"TM3",30.7,1957-09-30
"TM4",12.3,1957-09-30
"PM1",7.2,1957-09-30
"TM1",15,1957-10-31
"TM2",8.8,1957-10-31
"TM3",21.1,1957-10-31
"TM4",4.4,1957-10-31
"PM1",43.7,1957-10-31
"TM1",9.7,1957-11-30
"TM2",3.8,1957-11-30
"TM3",15.7,1957-11-30
"TM4",0.4,1957-11-30
"PM1",57.9,1957-11-30
"TM1",5.7,1957-12-31
"TM2",0.1,1957-12-31
"TM3",11.3,1957-12-31
"TM4",-3.2,1957-12-31
"PM1",47.5,1957-12-31
"TM1",7.3,1958-01-31
"TM2",1.8,1958-01-31
"TM3",12.8,1958-01-31
"TM4",-3.4,1958-01-31
"PM1",35.4,1958-01-31
"TM1",10.8,1958-02-28
"TM2",4.5,1958-02-28
"TM3",17.2,1958-02-28
"TM4",-3.5,1958-02-28
"PM1",17.4,1958-02-28
"TM1",10.4,1958-03-31
"TM2",4.2,1958-03-31
"TM3",16.5,1958-03-31
"TM4",-2,1958-03-31
"PM1",49.4,1958-03-31
"TM1",12.1,1958-04-30
"TM2",5.8,1958-04-30
"TM3",18.4,1958-04-30
"TM4",-0.2,1958-04-30
"PM1",65.2,1958-04-30
"TM1",17.9,1958-05-31
"TM2",10.3,1958-05-31
"TM3",25.4,1958-05-31
"TM4",2.5,1958-05-31
"PM1",15.1,1958-05-31
"TM1",20.5,1958-06-30
"TM2",12.8,1958-06-30
"TM3",28.1,1958-06-30
"TM4",7.5,1958-06-30
"PM1",9.5,1958-06-30
"TM1",24.7,1958-07-31
"TM2",15.7,1958-07-31
"TM3",33.8,1958-07-31
"TM4",10.2,1958-07-31
"PM1",0,1958-07-31
"TM1",25,1958-08-31
"TM2",16.9,1958-08-31
"TM3",33,1958-08-31
"TM4",10.9,1958-08-31
"PM1",0.2,1958-08-31
"TM1",23.9,1958-09-30
"TM2",15.8,1958-09-30
"TM3",32,1958-09-30
"TM4",13,1958-09-30
"PM1",0.6,1958-09-30
"TM1",15.6,1958-10-31
"TM2",8.8,1958-10-31
"TM3",22.3,1958-10-31
"TM4",4,1958-10-31
"PM1",31.9,1958-10-31
"TM1",10.1,1958-11-30
"TM2",4.2,1958-11-30
"TM3",15.9,1958-11-30
"TM4",-0.1,1958-11-30
"PM1",8.7,1958-11-30
"TM1",8.2,1958-12-31
"TM2",3.8,1958-12-31
"TM3",12.5,1958-12-31
"TM4",-2.2,1958-12-31
"PM1",158.6,1958-12-31
"TM1",8.1,1959-01-31
"TM2",2.6,1959-01-31
"TM3",13.5,1959-01-31
"TM4",-3.4,1959-01-31
"PM1",36.7,1959-01-31
"TM1",6.7,1959-02-28
"TM2",0.7,1959-02-28
"TM3",12.7,1959-02-28
"TM4",-2,1959-02-28
"PM1",28.2,1959-02-28
"TM1",10.6,1959-03-31
"TM2",5,1959-03-31
"TM3",16.2,1959-03-31
"TM4",-0.5,1959-03-31
"PM1",24.6,1959-03-31
"TM1",12.4,1959-04-30
"TM2",5.5,1959-04-30
"TM3",19.2,1959-04-30
"TM4",2.3,1959-04-30
"PM1",33.7,1959-04-30
"TM1",14.9,1959-05-31
