"year","bai_mean","bai_sd","bai_se","n_trees","site","nseries"
1997,1058.01406324241,631.607996572211,163.080483470374,15,"CA_Low",30
1998,884.885291255436,468.957376900211,121.084274054375,15,"CA_Low",30
1999,864.465933665943,524.842748247326,135.513814889308,15,"CA_Low",30
2000,1344.18320429099,743.922597352097,192.079988694136,15,"CA_Low",30
2001,1055.53329074985,533.15835662649,137.660895740381,15,"CA_Low",30
2002,1381.37045735846,692.985110413578,178.9279861201,15,"CA_Low",30
2003,1275.7881085176,622.643186584934,160.765779484864,15,"CA_Low",30
2004,1452.25479844062,732.920941641126,189.239373404182,15,"CA_Low",30
2005,1218.72206888191,654.898854542658,169.094157139602,15,"CA_Low",30
2006,977.422116908007,434.896511076626,112.289796314899,15,"CA_Low",30
2007,943.488907462304,407.927949703018,105.326543710155,15,"CA_Low",30
2008,1028.80098565261,505.888113630562,130.619749275697,15,"CA_Low",30
2009,1250.41051736363,549.876517972079,141.977506438426,15,"CA_Low",30
2010,1745.79150691268,793.177426991797,204.797531021792,15,"CA_Low",30
2011,1655.72768395486,978.528414371216,252.654950176698,15,"CA_Low",30
2012,1444.76016319434,741.138789554668,191.36121261157,15,"CA_Low",30
2013,1445.2010131311,811.450590131331,209.515641456588,15,"CA_Low",30
2014,1382.72940824541,754.784112228867,194.88441977629,15,"CA_Low",30
2015,1287.21603723942,590.327378578851,152.421873736411,15,"CA_Low",30
2016,1218.97484828767,537.069364533367,138.670713639729,15,"CA_Low",30
1819,288.276400265227,58.2451403698162,41.1855337266594,2,"CA_High",2
1820,409.797590550462,58.3663736585552,41.2712586072323,2,"CA_High",2
1821,331.635132706231,128.42437392877,90.8097456746698,2,"CA_High",2
1822,347.413014455283,57.9533701750905,40.9792210434207,2,"CA_High",3
1823,362.051401445321,26.7890567158212,18.9427236653482,2,"CA_High",3
1824,280.123935230635,58.9958051333656,41.716333871363,2,"CA_High",3
1825,361.738421794476,9.82801038599343,6.94945278950777,2,"CA_High",3
1826,621.093663228054,49.1688486110431,34.7676262760033,2,"CA_High",3
1827,1043.73731399794,558.186827659048,322.269315207055,3,"CA_High",4
1828,724.218541460238,359.639296875311,207.637844862129,3,"CA_High",4
1829,1083.10839109392,539.748081337266,269.874040668633,4,"CA_High",5
1830,904.759020180392,349.351523123565,156.234750749476,5,"CA_High",6
1831,706.029109957734,335.444884269957,136.944800548058,6,"CA_High",8
1832,865.292139121241,619.808605209397,253.035803491528,6,"CA_High",9
1833,958.391411384391,633.43738055984,258.599727729462,6,"CA_High",9
1834,1313.98056689941,1351.85852585265,510.954495306929,7,"CA_High",10
1835,1279.94551705378,1264.43428412865,477.911237855485,7,"CA_High",10
1836,1002.92925384158,797.231691880442,301.325256287846,7,"CA_High",10
1837,1144.70851372811,843.928343352296,318.974931552701,7,"CA_High",11
1838,1404.2934965497,1213.413473683,458.627184122891,7,"CA_High",11
1839,1582.94085307939,1310.45502631408,495.305443423093,7,"CA_High",12
1840,1447.91291077799,955.400905228606,361.107599657269,7,"CA_High",12
1841,1468.96988309485,935.029758009658,353.408029734066,7,"CA_High",12
1842,1481.80550117488,807.954526000942,305.378106635366,7,"CA_High",12
1843,1775.47177445334,921.150755900398,325.675972996143,8,"CA_High",14
1844,1636.81440681934,752.378378552478,266.005926746298,8,"CA_High",14
1845,1533.59574047924,699.705182801857,247.383139795283,8,"CA_High",14
1846,1516.45797409814,579.094346873535,193.031448957845,9,"CA_High",15
1847,2133.26881702339,857.426338162763,285.808779387588,9,"CA_High",15
1848,1769.78919663453,770.425156140656,256.808385380219,9,"CA_High",16
1849,1616.00382404141,731.442820763828,243.814273587943,9,"CA_High",16
1850,1509.09030165831,1013.99855207822,337.999517359407,9,"CA_High",16
1851,1435.59031447963,883.974151637983,294.658050545994,9,"CA_High",16
1852,1233.8317936152,799.902568459579,266.634189486526,9,"CA_High",16
1853,1505.39994918575,907.347471318032,286.928463855928,10,"CA_High",17
1854,1951.81011782243,1051.01625919418,332.36052369235,10,"CA_High",17
